rating,title,review,processed_review_tfidf,processed_review_tfidf_noun_only,processed_review_tfidf_adj_only
5,Good Price,This is my favorite flavor. It’s hard to find it in grocery stores now,favorite flavor hard find grocery store,favorite flavor grocery store,favorite
5,Love them.,"I am a fan of these, so nothing to add.",fan add,fan,
5,Best,The best,well,,
5,Delicious,Love this flavor and this tall size is the best.,love flavor tall size well,love tall size,tall
5,Love my morning Starbucks!,Quick delivery. Package for shipment properly. Great product. Long expiration date on bottle.,quick delivery package shipment properly great product Long expiration date bottle,quick delivery package shipment properly great product Long expiration date bottle,quick great
5,Great flavor. Great service.,"This is my favorite Starbucks product of all time. Arrived safe in a sturdy, reliable packaging.",favorite Starbucks product time arrive safe sturdy reliable packaging,favorite Starbucks product time safe sturdy reliable packaging,favorite safe sturdy reliable
5,Cheaper than my local grocery store outstanding!,You can't beat Starbucks in person but where I'm living we don't have a Starbucks... It's an hour drive! The local grocery stores know it so they charge 2.85 a bottle. I was so happy to find Amazon not only sells them but cheaper than my local grocery store.,beat Starbucks person live Starbucks hour drive local grocery store know charge 2.85 bottle happy find Amazon sell cheap local grocery store,Starbucks person local grocery store 2.85 bottle Amazon cheap local grocery store,local happy cheap local
5,It’s going to be a GOOD MORNING 🌞,The best breakfast in the morning 👍🍶stores that carry this flavor have been hit and miss so this was an awesome way to stock up!,good breakfast morning 👍 🍶 store carry flavor hit miss awesome way stock,🍶 store flavor miss,good awesome
5,Oh yum ! My favorite brew,Great tasting and hard to find flavor of Starbucks Frappuccino !,great tasting hard find flavor Starbucks Frappuccino,tasting Starbucks Frappuccino,great hard
5,Fast and great packaging,Box arrived a little dented but their packing is genius. The glass bottles were totally unharmed.,Box arrive little dent packing genius glass bottle totally unharmed,Box little dent packing genius glass bottle,little unharmed
5,This is the best coffee in the morning,Keep ordering it good taste,order good taste,order good taste,good
5,Love it!,I love how nice they came in nothing was broken and everything was sorted very neatly!,love nice came break sort neatly,love,nice
5,Cheaper than buying at the store.,I'm absolutely addicted to these drinks and I have a hard time finding them so I decided to look online and sure enough...just like anything else I could possibly think of...found it on Amazon! If you do the math it's about a dollar cheaper per bottle than buying them at the store. I've ordered several cases now and every time they have arrived on time with not a single bottle broken. No complaints here..,absolutely addicted drink hard time finding decide look online sure like possibly think find Amazon math dollar cheap bottle buying store order case time arrive time single bottle break complaint,absolutely addicted drink hard time finding Amazon math dollar cheap bottle buying store order case time,addicted hard cheap single
5,starbucks frappucino coffee flavor,why is starbucks discontinuing coffee flavor?,starbuck discontinue coffee flavor,starbuck coffee flavor,
5,cofee,I love the taste of this coffee and the ease of getting it,love taste coffee ease get,taste coffee ease,
5,The best love em,Great cold coffee,great cold coffee,great cold coffee,great cold
5,"About the same price as locally without having to go out to get it, locally $2.50 each plus tax.","I really like the mocha flavor, and these prices are only $0.13 more than I would pay locally. Everything arrived intact, very well packaged.",like mocha flavor price $ 0.13 pay locally arrive intact package,mocha flavor price $ 0.13 pay intact package,intact
5,Great Price Deal for a delicious Coffee Drink,"Starbucks Vanilla Frappuccino are the most popular flavor starbucks offers. Their a good drink chilled or room temperature. Its more milk than coffee, but black coffee effected my stomach. So switching to these and no issues was extremely welcoming. is a great deal for twelve of the 13.7 oz bottles. I pay $2.99 to $3.59 each in town where I live.",Starbucks Vanilla Frappuccino popular flavor starbucks offer good drink chill room temperature milk coffee black coffee effect stomach switch issue extremely welcome great deal 13.7 oz bottle pay $ 2.99 $ 3.59 town live,Starbucks Vanilla Frappuccino popular flavor starbucks good drink chill room temperature milk coffee black coffee effect stomach switch issue great deal 13.7 oz bottle $ 2.99 $ 3.59 town,popular good black welcome great
5,Summer in a bottle,I love this I always keep it on hand,love hand,love hand,
5,No time for lines.,"I love Starbucks frappuccino but I don't always have time to wait in line, I make my own ice shake and go.",love Starbucks frappuccino time wait line ice shake,Starbucks line ice shake,
5,Another flawless delivery,"I am not doubting other users complaints of damaged boxes and broken bottles, just want to say I have ordered this Starbucks liquid coffee 6-7 times now, along with other bottled drinks over time, and have never had one broken bottle yet! Starbucks chilled coffee is great for a quick pick me up in the afternoon..",doubt user complaint damage box break bottle want order Starbucks liquid coffee 6 7 time bottled drink time break bottle Starbucks chill coffee great quick pick afternoon,doubt user complaint damage box break bottle order Starbucks liquid coffee 6 7 time bottled drink time break bottle Starbucks chill coffee,liquid bottled great quick
